Gene,GFPneg #1,GFPneg #2,GFPneg #3,GFPhigh #1,GFPhigh #2,GFPhigh #3
Adssl1,6.139580757,5.920831485,5.765311205,6.734339609,6.409464817,6.389174589
Naa25,7.71479944,7.423130248,7.686629988,8.274626033,8.101903029,8.152147356
Mcu,7.81737991,7.736834248,7.6878771,8.241576283,8.312421718,8.391001079
Fam63a,6.868457791,7.236580223,7.054836519,7.587218246,7.74051079,7.529584517
Hpx,5.379374458,5.254883271,5.226443364,5.962738132,5.952719707,5.642664691
Tmco6,6.359633604,6.610649613,6.48889203,6.829551702,7.15038326,7.175797106
Gstm6,4.092346179,4.157311586,4.328855187,4.486266602,4.821040836,4.967278185
Npw,5.620814455,5.439827753,5.686800523,5.950762534,6.104777574,6.385625417
Slk,8.648386818,8.855595624,8.508086052,9.373446898,9.160966728,9.170588417
Acox3,6.880636174,6.827092997,6.728218879,7.452663071,7.437442741,7.238767575
Foxn1,4.972611154,4.933404335,4.708888288,5.454838126,5.399536837,5.453219805
Aspg,5.980944698,5.895184751,5.941016456,6.481259373,6.670840737,6.356863512
Gm281,2.687576656,2.776010271,2.726968947,3.212156383,3.344621384,3.325428322
Klhl26,7.239309723,7.500080591,7.331675655,7.774853762,8.024595845,7.962952831
Zgpat,7.642217552,7.760585521,7.897691488,8.2718889,8.493623346,8.225847655
Mbnl3,7.241167795,7.195619434,7.261306832,7.855909281,7.606413466,7.924300674
Arsk,6.152542399,6.406551454,6.203555435,6.755864207,6.673592255,7.021161136
Trim21,6.930822803,7.176939662,6.781473405,7.507873715,7.495635825,7.572908427
Vmn1r181,2.751230614,2.520519027,2.464097836,3.096024812,3.128352843,3.197212326
Olfr677,2.880205966,2.888857578,3.165204772,3.384290601,3.385901124,3.848662661
Ppp1r13l,6.78154492,6.748301003,6.79240472,7.262563334,7.556503547,7.186135614
LOC102633236,3.280379621,3.2331259,3.581148665,3.86012047,3.7974387,4.112984588
Mir1247,6.47668632,6.807505488,6.528926601,7.011714608,7.285356673,7.190815941
Htr1b,5.02602443,5.068685372,5.320253665,5.513895317,5.787195075,5.782988567
Zfyve26,7.165273247,7.374055592,7.258551855,7.886849342,7.886849342,7.692231503
