Feature Name,1,2,3,4,5
BECN1,1.0,1.0,,,
BEGAIN,,,1.0,,
BEND5,,,,,1.0
BEND6,,,1.0,,
BET1,1.0,,,,
BEX1,,,1.0,,
BHLHE23,,,1.0,,1.0
BHLHE40,1.0,,,,
BHLHE41,,1.0,,,
BICD1,,,1.0,,
BICD2,1.0,,,,
BID,,,1.0,,
BIK,,,,1.0,
BIN2,1.0,1.0,,,
BIRC2,1.0,,,,
BIRC3,1.0,,,,
BIRC6,1.0,1.0,,,
BLK,,,1.0,1.0,
BLM,,1.0,,,
BLMH,,,1.0,,
BLOC1S1,,,,1.0,
BLOC1S2,1.0,,,,
BLOC1S3,1.0,,,,
BLOC1S6,,1.0,,,
BLVRA,,,1.0,,
BLVRB,1.0,1.0,,,
BMI1,,,,,1.0
BMP1,1.0,,1.0,,
BMP4,1.0,,,,
BMP8A,,,,1.0,
BMP8B,,,,1.0,
BMPR1A,1.0,,,,
BMPR1B,,1.0,,,
BMPR2,,,,,1.0
BMS1,1.0,1.0,,,
BMX,,1.0,,,
BNC1,1.0,1.0,,,
BNC2,1.0,,,,
BNIP2,1.0,1.0,,,
BOK,1.0,,,,
BOLA3,1.0,,,,
BOP1,,,1.0,,
BPIFA1,,,,1.0,
BPIFB1,,,,1.0,
BPNT1,,,,,1.0
BRAT1,1.0,,,,
BRD3,,,,,1.0
BRD8,1.0,,,,
BRD9,,,1.0,,
BRF1,,,1.0,,
BRI3BP,,,,1.0,
BRINP1,,,1.0,,
BRINP3,1.0,1.0,,,
BRIP1,,,,,1.0
BRIX1,,,1.0,,
BRK1,,,,1.0,
BRMS1L,,,,1.0,
BROX,,,,1.0,
BRS3,,,1.0,,
BRSK1,,,,,1.0
BRWD1,,,,,1.0
BSDC1,,,,1.0,
BSPRY,,,,1.0,
BST2,1.0,,,,
BTBD1,1.0,1.0,1.0,,
BTBD10,,,,1.0,
BTBD17,,,1.0,,
BTBD2,,,1.0,,
BTD,1.0,,,,
BTG1,,1.0,,1.0,
BTG2,,,,1.0,
BTG3,,,,,1.0
BTN2A1,1.0,,,,
BTN2A2,1.0,,,,
BTN3A1,1.0,,,,
BTN3A2,,1.0,,1.0,
BTN3A3,1.0,,,,
BTNL9,1.0,,,,
BUB1,1.0,,,,
BUB1B,1.0,1.0,1.0,,
BUB3,1.0,,,,
BUD13,,,,,1.0
BYSL,,,1.0,,
BZW1,1.0,,,,
BZW2,,1.0,1.0,,
C1D,1.0,,,,
C1GALT1C1,,,,1.0,
C1QBP,,1.0,1.0,,
C1QL2,,,1.0,,
C1QL4,1.0,,1.0,,
C1QTNF5,,1.0,,,
C1QTNF6,1.0,,,,
C1RL,1.0,,,,
C1S,1.0,,,,
C2CD2,,1.0,,,
C2CD4B,,,,1.0,
C2CD4C,,,,,1.0
C2ORF15,,,,,1.0
C3,1.0,,,,
C3AR1,1.0,,,,
C4BPA,,,,1.0,
C4BPB,,,,1.0,
C5AR1,1.0,,,,
C5AR2,,,,1.0,
C8A,,-1.0,,,
C9,,1.0,,,
CA10,,,,1.0,
CA12,,,1.0,,
CA2,1.0,,,,
CA6,,,,1.0,
CA8,,,,1.0,
CABLES2,,,,,1.0
CABP1,,,1.0,,
CABP4,,,,1.0,
CABP7,,,1.0,,
CABYR,1.0,,,,
CACNA1A,,,,1.0,
CACNA1B,,,1.0,,
CACNA1C,,,1.0,,
CACNA1F,,,1.0,,
CACNA1G,,,,,1.0
CACNA1I,,,1.0,,
CACNA2D2,,,1.0,,
CACNA2D4,,,1.0,,
CACNB1,,,1.0,,
CACNB3,,,,,1.0
CACNG2,,,1.0,,
CACNG6,1.0,,,,
CACNG7,1.0,,,,
CACNG8,1.0,,,,
CACUL1,1.0,,,,
CAD,1.0,,1.0,,
CADM4,,,,,1.0
CADPS2,,,,1.0,
CALB1,,,,,1.0
CALCA,,,,1.0,
CALCOCO2,1.0,,,,
CALD1,1.0,1.0,,,
CALM1,,,1.0,,
CALML4,,,1.0,,
CALML6,1.0,,,,
CALR3,,1.0,,,
CALU,1.0,1.0,,,
CAMK1,1.0,,,,
CAMK1D,,,,1.0,
CAMK2A,,,,,1.0
CAMK2D,,,,1.0,
CAMK4,,,,,1.0
CAMKK1,,,1.0,,
CAMKV,,,1.0,,
CAMSAP1,,,,,1.0
CAMSAP2,1.0,,,,
CAMTA2,,1.0,,,
CAND1,,,,,1.0
CANT1,,,,1.0,
CANX,1.0,,,,
CAP1,,,,1.0,
CAP2,1.0,,1.0,,
CAPN1,,1.0,,,
CAPN13,,1.0,,1.0,
CAPN15,1.0,,1.0,,
CAPN2,1.0,,,,
CAPN3,,1.0,,,
CAPN7,,1.0,,,
CAPN9,,,,1.0,
CAPNS1,1.0,,,,
CAPRIN1,,1.0,,,
CAPS,,,,1.0,
CAPZA1,1.0,,,,
CAPZA2,1.0,,,,
CAPZB,1.0,,,,
CARD10,1.0,1.0,,,
CARD11,,,1.0,,
CARD14,,1.0,,,
CARD16,1.0,,,1.0,
CARD9,,,1.0,,
CARM1,1.0,1.0,1.0,,
CARNS1,,,,1.0,
CARS2,,,,1.0,
CASC10,1.0,,,,
CASC4,1.0,,,,
CASK,,,1.0,,
CASP1,1.0,,,1.0,
CASP10,1.0,,,,
CASP2,,,,,1.0
CASP4,,,,1.0,
CASP6,,1.0,,,
CASP7,1.0,,,1.0,
CASP8,,,,1.0,
CASQ2,,1.0,,,
CAST,1.0,,,,
CASZ1,,1.0,,1.0,
CAT,,1.0,,,
CATSPERB,,1.0,,,
CAV1,1.0,1.0,,,
CAV2,1.0,1.0,,,
CBFA2T2,,,,1.0,
CBFA2T3,,,1.0,,
CBLN1,,,,,1.0
CBLN3,,,,1.0,
CBS,,1.0,,,
CBWD1,,1.0,,,
CBWD6,,,,1.0,
CBX2,,,,,1.0
CBX6,,,,1.0,
CBX7,,,,1.0,
CC2D1B,1.0,,,1.0,
CCAR1,,1.0,,,
CCBE1,,,,,1.0
CCDC102A,1.0,1.0,,,
CCDC103,,,,1.0,
CCDC106,1.0,,1.0,,
CCDC110,,,,1.0,
CCDC114,,,,1.0,
CCDC115,,1.0,,,
CCDC117,,1.0,,,
CCDC12,1.0,,,,
CCDC121,,,,1.0,
CCDC124,,,1.0,,
CCDC136,,,1.0,,
CCDC138,,,1.0,,
CCDC142,1.0,,,,
CCDC15,,,,,1.0
CCDC159,,,,1.0,
CCDC168,,1.0,,,1.0
CCDC17,,,,1.0,
CCDC171,,,,,1.0
CCDC173,,,,,1.0
CCDC177,,,1.0,,
CCDC178,,,,1.0,
CCDC18,1.0,,,,
CCDC24,,,,1.0,
CCDC33,,,,1.0,
CCDC34,,,,,1.0
CCDC40,,,,1.0,
CCDC42,1.0,,,,
CCDC43,,1.0,,,
CCDC47,,1.0,,,
CCDC51,,1.0,,,
CCDC58,,1.0,,,
CCDC6,,1.0,,,
CCDC61,,1.0,,,
CCDC62,,,,,1.0
CCDC63,1.0,,,,
CCDC66,1.0,,,,
CCDC69,1.0,1.0,,,
CCDC71,1.0,,,,
CCDC80,1.0,,,,
CCDC81,,,,,1.0
CCDC85B,1.0,,1.0,,
CCDC85C,,,1.0,,
CCDC88C,,,,1.0,
CCDC9,1.0,,,,
CCDC92,1.0,,,,1.0
CCHCR1,1.0,,,,
CCIN,,,1.0,,
CCL2,1.0,,,,
CCL20,1.0,,,,
CCL26,1.0,,,,
CCL28,1.0,,,,
CCL5,1.0,,,,
CCNA2,1.0,,,,
CCNB1,1.0,,,,
CCNB1IP1,,,1.0,,
CCNB2,1.0,,1.0,,
CCNB3,1.0,1.0,,,
CCNC,,1.0,,,
CCND1,1.0,1.0,,,
CCND2,,,1.0,,
CCNDBP1,1.0,,,,
CCNH,1.0,,,,
CCNK,,,1.0,,
CCNL2,1.0,,,,
CCP110,,,,,1.0
CCPG1,1.0,,,,
CCR1,,-1.0,,,
CCR10,,,,1.0,
CCR7,,,,1.0,
CCR8,,,,1.0,
CCSAP,,,1.0,,
CCSER1,,1.0,,,
CCSER2,,,,1.0,
CCT2,,1.0,,,
CCT3,,1.0,1.0,,
CCT4,1.0,,,,
CCT5,1.0,,1.0,,
